# DF COMPASS 파리티 원장 정본 — 감리자 생성 20260816, v1 HEAD↔v2 233cef2
# 처분 어휘: PORTED/SEMANTIC/EXCLUDED/IMPLEMENT/PENDING (게이트 정합) · 전 필드 단일행 보장
layer,src,item,disposition,basis
UI,ui/render.py:249,💡 <strong>어느 쪽인지 선택해 주세요</strong></div>,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/ambiguity.py:30,'발주'는 맥락에 따라 적용 사규가 다릅니다. 어느 발주를 찾으시나요?,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/ambiguity.py:32,상품 발주 (입고·반출입),EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/ambiguity.py:32,상품 반출입 발주 등록 절차,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/ambiguity.py:33,구매 발주 품의·결재,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/ambiguity.py:33,구매 발주 품의 결재 절차,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/ambiguity.py:34,협력사 발주 (입점·거래),EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/ambiguity.py:34,협력사 발주 처리 절차,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/ambiguity.py:38,'감사'는 종류에 따라 적용 사규가 다릅니다. 어느 감사를 찾으시나요?,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/ambiguity.py:40,내부회계 감사,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/ambiguity.py:40,내부회계관리제도 감사 절차,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/ambiguity.py:41,정보보호·보안 감사,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/ambiguity.py:41,정보보호 보안 감사 절차,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/ambiguity.py:75,상품 발주 절차,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/ambiguity.py:75,감사합니다,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/ambiguity.py:102,선택지 query {_ch['query']!r} 가 역질문을 재트리거 → 무한 루프 위험,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/answer_guard.py:10,관련 사규에서 확인되지 않습니다. 질문을 더 구체적으로 다시 시도해 주세요.\n\n,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/answer_guard.py:11,[참조: 검색 결과 없음],EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/answer_guard.py:16,현재 답변을 생성하지 못했습니다. 잠시 후 다시 시도해 주세요.\n\n,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/answer_guard.py:22,LLM 이 예외 없이 빈 본문을 반환한 경우 (PR-B 에서 raise).,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/answer_guard.py:32,^질문하신 내용: '.*?'\s*,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/answer_guard.py:33,\[참조:.*?\],EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:62,"eval override 가 있으면 추론된 provider, 없으면 None.",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:76,[검색 과정],EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:98,신세계그룹,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:100,임직원 징계,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:109,SNS 인플루언서,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:117,의식을 잃은,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:118,어린이 안전,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:118,위험성평가,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:119,비상시대비,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:125,상품반출입,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:129,영상정보기기,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:133,매장 습득물,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:136,환경영향평가,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:137,환경 리스크,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:143,PR-MultiFacet-Shadow: 게이트 판정 로그만 (행동 변화 없음).,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:255,**마커 단계명**\\n\\n본문,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:273,(?:^|\n)\s*(?:③|##?#?\s*권장\s*행동|\*\*?권장\s*행동\*\*?|3\.\s*즉시\s*실행),EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:274,([\s\S]*?)(?=\n\s*(?:④|##?#?\s*출처|##?#?\s*역질문|\[참조|---)|\Z),EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:286,"(?:이전|위|기존|모든|앞)\s*[가-힣\s]{0,8}",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:287,"(?:지시|명령|규칙|프롬프트|prompt|instruction)[가-힣을를\s]{0,8}",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:288,(?:무시|잊어|잊고|버려|덮어|취소|reset),EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:299,(?:system\s*prompt|시스템\s*프롬프트)\s*(?:을|를)?\s*,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:300,(?:출력|보여|공개|reveal|show|print|leak|덤프|dump),EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:305,역할\s*을?\s*(?:바꾸|변경|전환).*(?:AI|GPT|Claude|Gemini|어시스턴트|assistant),EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:310,(?:관리자|admin|developer)\s*(?:모드|mode)\s*(?:로|을|를)?\s*,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:311,(?:전환|진입|enable|activate),EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:378,msg={_e} hint=db/16 마이그레이션 미적용 가능 —,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:379,nexus_diagnose_role 함수 부재,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:573,[NOTE — 시스템 운영 신호]\n,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:574,이 질문에 대한 사규 검색의 신뢰도가 낮다고 판정되었습니다.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:575,[신뢰도 가이드] 섹션을 활성화하여 답변하세요. 단호 어휘 대신,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:576,"추정형 표현을 쓰고, 답변 끝에 \",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:577,결정한 부서에 확인 바랍니다\,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:578,인라인 인용 (📎 + 볼드) 형식과,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:579,[참조: ...] 통합 출처 표기는 그대로 유지합니다.\n\n,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:715,Gemini 합성이 전체 {_SYNTH_OVERALL_TIMEOUT:.0f}초 한도 초과 — 응답 지연 중단(deadline guard),EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:723,Gemini 호출이 60초 내 응답하지 않았습니다.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:818,ANTHROPIC_API_KEY 가 설정되지 않았습니다.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:940,질문하신 내용: '{q}'\n\n{answer.lstrip()},EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:945,인사교육팀,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:946,관리부서: 인사팀,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:946,사규 본문이 진실,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:952,관리부서 인사팀,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:975,사례집 #{c['case_no']},EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:979,\n\n[참조: 검색 결과 없음],EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:980,"\n\n[참조: {', '.join(cites[:5])}]",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:984,[\w가-힣]+,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:986,(제\s*\d+\s*조(?:의\s*\d+)?(?:\s*제\s*\d+\s*항)?),EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:988,\[참조:\s*([^\]]+)\],EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:1009,[참조: 클린뱅크 운영지침 제3조],EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:1010,(CSR) 클린뱅크 운영 지침,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:1011,[참조: (CSR) 클린뱅크 운영 지침 제3조],EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:1050,"[참조: {', '.join(normalized)}]",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:1102,해당 유형 문서가 검색되지 않았습니다,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:1219,해당 요청은 처리할 수 없습니다. 사규·윤리강령·사례집 관련,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:1220,질문을 해주세요.\n\n[참조: 검색 결과 없음],EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:1712,Gemini 스트림 전체 {_SYNTH_OVERALL_TIMEOUT:.0f}초 초과 — 응답 지연 중단(stall guard),EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:1722,Gemini 스트림이 {_SYNTH_STREAM_CHUNK_TIMEOUT:.0f}초간 무응답 — 응답 지연 중단(stall guard),EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:2193,질문하신 내용: '{_q}'\n\n,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:2374,평균 약 N초,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/chatbot.py:2405,사용자 피드백(👍=1 / 👎=-1) 을 query_logs 에 기록. 성공 여부 반환.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/citation_verifier.py:22,\s+제\d+조(\s+제\d+항)?(\s+제\d+호)?$,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/citation_verifier.py:26,doc_title 정규화 — 조항 번호 제거하여 false positive 차단.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/citation_verifier.py:31,답변 본문의 「📎 ((xxx) doc_title)」 인용 doc_title 추출.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/confidence.py:38,doc_title 의,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/confidence.py:38,prefix 를 추출. 없으면 None.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/confidence.py:105,본 분류기가 사용한 시그널 dump — admin Eval 탭 등에서 활용 가능.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/config.py:130,고용노동부 1350,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/config.py:132,인사 규정·복리후생 등 인사 행정 사항은 인사교육팀에 문의해 주시기 바랍니다.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/config.py:161,인사 챗봇 오픈 시 자연스러운 전환을 위한 단일 문구 빌더.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/config.py:164,인사 챗봇으로 이동: {url},EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/config.py:177,`SUPABASE_URL` 미설정,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/config.py:179,`SUPABASE_URL` 이 https:// 로 시작해야 함,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/config.py:182,`SUPABASE_KEY` (anon) 미설정,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/config.py:185,`GEMINI_API_KEY` 미설정 — chat primary 동작 불가,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/config.py:190,INFO: `NEXUS_CHAT_FALLBACK=claude` 인데 `ANTHROPIC_API_KEY` 미설정,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/config.py:191,→ Gemini 503 시 fallback 발동 안 함 (Gemini 단독 운영),EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/config.py:197,`NEXUS_CLAUDE_EFFORT='{s.claude_effort}'` 는 유효한 값이 아님.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/config.py:198,허용: {sorted(valid_efforts)},EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/config.py:203,`NEXUS_EMBED_DIM={s.embed_dim}` 는 Gemini 기본 차원이 아님.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/config.py:204,DB 스키마 vector(N) 와 일치 여부 확인 필요,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/config.py:210,INFO: `NEXUS_ENV='{s.env_tag}'` 는 권장 값이 아님 — 베타 배너/,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/config.py:211,동의 게이트가 의도와 다르게 동작할 수 있음. 권장:,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:23,"{'safety': [...], 'harassment': [...]} 반환. 실패 시 빈 dict.",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:45,절차가 어떻게,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:45,어떻게 되나요,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:45,어떻게 진행,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:45,방법이 어떻게,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:46,기준이 어떻게,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:46,처분이 어떻게,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:48,정의가 무엇,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:72,개인정보유출,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:73,개인정보 노출,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:129,본 답변은 사규 해석 관점입니다.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:130,신고·조사 사항은 CSR팀 또는 신세계면세점 핫라인으로 접수해 주시기 바랍니다.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:131,"본 답변은 사규/안전관리 기준 관점이며,",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:132,실제 응급상황 시 아래 핫라인을 즉시 이용하시기 바랍니다.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:136,📞 **핫라인 안내**,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:137,"- 사내 익명 제보채널: {hotlines.get('internal_report_url','')}",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:138,"- 외부 상담채널: {hotlines.get('external_hotline','')}",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:141,- 신고·조사 접수: CSR팀 또는 신세계면세점 핫라인,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:152,"4단 구조를 강제 보장하고, 누락 항목은 후처리 삽입.",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:156,### 1. 사규 기반 답변,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:157,관련 사규에서 확인되지 않습니다.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:160,### 2. 답변 범위 안내,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:164,### 3. 즉시 실행 가능한 행동 가이드,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:169,현장 안전 확보 및 2차 피해 방지 (작업 중지/대피 우선),EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:170,관리감독자·안전보건 담당자에게 즉시 보고,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:171,필요한 경우 119 신고 및 사내 핫라인 이용,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:175,발생 일시·장소·관련자·구체적 행위를 시간순으로 메모,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:176,가능한 증거(메시지·이메일·녹취 등)를 안전한 위치에 보관,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/critical_mode.py:177,아래 핫라인 또는 CSR팀에 익명/실명으로 상담 요청,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/disambiguation.py:4,모호한 query,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/disambiguation.py:28,(안전) 리스크 관리 지침,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/disambiguation.py:28,리스크 관리 지침,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/disambiguation.py:29,신세계그룹 CREDO,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/disambiguation.py:40,"query 의 핵심 단어 추출 (2글자+, 조사/종결부호 제거).",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/disambiguation.py:129,(환경) 리스크 관리 지침,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/disambiguation.py:138,💡 **유사한 사규가 여러 개 있습니다.** 어느 사규에 대한 답변을 원하시나요?,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/disambiguation.py:142,위 선택지 중 구체적으로 다시 질문해 주시면 더 정확한 답변을 드릴 수 있습니다.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/doc_router.py:3,"두더지잡기 금지, 구조적으로 fix",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/doc_router.py:4,중국 리서치 업체가 인터뷰에 응해주면 시간당 50만원 사례,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/doc_router.py:10,사례 하겠다고,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/doc_router.py:74,외부 업체가 돈을 주며 인터뷰/자문/강연을 요청,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/doc_router.py:76,거래처가 선물을 보냈다,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/doc_router.py:77,이런 걸 해도 되는지,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/doc_router.py:90,": <카탈로그 번호>,",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/doc_router.py:90,<한 줄 근거>,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/doc_router.py:127,"<idx>. <title> — 키워드: a, b, c",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/doc_router.py:138,"— 키워드: {', '.join(kws)}",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/doc_router.py:194,Gemini 1회 호출 (timeout 스레드 가드) → 파싱 결과 or None.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/doc_router.py:216,[사규 카탈로그]\n{_build_catalog_lines(docs)}\n\n,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/doc_router.py:217,[사용자 질문]\n{question},EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/embedder.py:79,임베딩 호출이 {per_call_timeout}초 내 응답하지 않았습니다,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/embedder.py:80,(chunk {idx}/{len(items)}). Gemini API 상태 확인 필요.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/embedder.py:84,임베딩 회차 전체 wall-clock {overall_timeout:.0f}초 초과.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/embedder.py:85,완료 {sum(1 for o in out if o is not None)}/{len(items)}.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/embedder.py:86,일괄 재시도 또는 청크 수 분할 권장.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/eval_template.py:25,협력회사로부터 명절 선물을 받아도 되나요?,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/eval_template.py:26,선물;수수;신고,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/eval_template.py:31,윤리강령 수수 금지 조항 인용 여부 확인,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/eval_template.py:36,작업장에서 동료가 다쳐서 의식이 없습니다. 어떻게 해야 하나요?,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/eval_template.py:37,119;응급;신고,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/eval_template.py:38,안전보건관리규정,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/eval_template.py:42,심각 사안 응답 모드(safety) 발동 기대,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/eval_template.py:47,직장 내 괴롭힘을 당하고 있는데 어디에 신고해야 하나요?,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/eval_template.py:48,신고;상담;핫라인,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/eval_template.py:49,직장내괴롭힘방지지침,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/eval_template.py:53,심각 사안 응답 모드(harassment) 발동 + 인사교육팀 라우팅 안내 포함 기대,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/faq_cache.py:9,성희롱 신고 방법,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/faq_cache.py:9,성희롱 피해,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/faq_cache.py:35,service_role 우선 client (선례 core/auto/cache.py:_get_sb 미러링).,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/faq_cache.py:47,[faq_cache] supabase client 가져오기 실패: {type(e).__name__}: {e},EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/faq_cache.py:54,공백 + lowercase 정규화 (선례 동일). suffix 정규화 없음.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/faq_cache.py:182,Admin display 용. approved 우선 → hit_count 내림차순 정렬.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/faq_cache.py:209,컴플라이언스 게이트: approved=true. answer_text 비어있으면 거부.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/faq_cache.py:250,상단 통계 panel 용: 총/승인/총 hit/최다 hit FAQ.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/faq_cache.py:294,홈 칩 노출 설정 (Admin). approved/is_critical/answer_text 는 건드리지 않음.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/faq_cache.py:319,Phase 2: 운영 배포 후 활성화,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/grounded_suggestions.py:24,공백 제거 + 소문자 — 중복 판정용.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/helper_health.py:23,"헬퍼 실패 1건 기록 — best-effort, 절대 raise 하지 않는다.",EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/helper_health.py:46,회로 'open'(장애 의심) — window 내 실패 >= threshold.,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/multi_facet.py:3,협력사 발주,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/nexus_button_branch.py:56,신고·조사,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/nexus_button_branch.py:58,신세계면세점 핫라인,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/nexus_button_branch.py:60,일반 사건사고 보고지침,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/nexus_button_branch.py:61,중대 사건사고 보고지침,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/nexus_button_branch.py:62,사건사고 보고지침,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/nexus_button_branch.py:63,공정거래법 위반,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/nexus_button_branch.py:64,공정거래를 저해,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
코어,core/nexus_button_branch.py:65,위변조 또는 허위작성,EXCLUDED,[비표면] 비렌더 문맥(위젯 호출 아님)
